
RITZ,20/10/05 17:23:50,Clock In
RITZ,20/10/05 19:53:58,Clock Out
RITZ,20/10/05 19:54:15,Clock Out
MINH,22/06/16 18:07:44,Clock In
MINH,22/06/16 18:07:52,Clock Out
MINH,22/06/16 18:09:16,Clock In
MINH,22/06/16 18:09:26,Clock Out
MINH,22/06/16 18:11:17,Clock In
MINH,22/06/16 18:11:24,Clock Out
MINH,22/06/16 20:17:13,Clock In
MINH,22/06/16 20:17:34,Clock Out
MINH,22/06/16 20:47:49,Clock In
MINH,22/06/16 20:48:05,Clock Out
MINH,22/06/16 20:49:37,Clock In
MINH,22/06/16 20:49:48,Clock Out
MINH,22/06/16 20:51:36,Clock Out
MINH,22/06/16 20:51:45,Clock In
MINH,22/06/16 21:08:30,Clock In
MINH,22/06/16 21:08:35,Clock Out
MINH,22/06/16 22:18:02,Clock In
MINH,22/06/16 22:18:43,Clock In
MINH,22/06/16 22:18:47,Clock Out
MINH,22/06/16 23:02:03,Clock In
OBAMA,22/06/16 23:02:34,Clock In
MINH,22/06/16 23:03:09,Clock Out
OBAMA,22/06/16 23:03:30,Clock Out
MINH,22/06/17 14:26:38,Clock In
MINH,22/06/17 14:26:47,Clock Out
MINH,22/06/17 14:26:59,Clock In
MINH,22/06/17 14:27:08,Clock Out
MINH,22/06/17 17:03:24,Clock In
MINH,22/06/17 17:42:56,Clock In
MINH,22/06/17 17:43:04,Clock Out
MINH,22/06/17 17:50:06,Clock In
MINH,22/06/17 17:50:11,Clock Out
MINH,22/06/17 17:50:51,Clock In
MINH,22/06/17 18:07:50,Clock In
MINH,22/06/17 18:07:54,Clock Out
MINH,22/06/17 18:27:38,Clock In
MINH,22/06/17 18:27:43,Clock Out
MINH,22/06/17 18:28:02,Clock In
MINH,22/06/17 18:28:47,Clock In
MINH,22/06/17 18:28:54,Clock Out
MINH,22/06/17 18:44:25,Clock In
MINH,22/06/17 18:44:32,Clock Out
MINH,22/06/17 20:44:20,Clock In
MINH,22/06/17 20:44:35,Clock Out
MINH,22/06/17 20:48:27,Clock In
MINH,22/06/17 20:48:35,Clock In
MINH,22/06/17 20:53:36,Clock In
MINH,22/06/17 20:55:05,Clock In
MINH,22/06/17 20:55:07,Clock In
MINH,22/06/17 20:55:09,Clock In
MINH,22/06/17 20:55:12,Clock In
MINH,22/06/17 20:55:31,Clock In
MINH,22/06/17 20:55:52,Clock In
MINH,22/06/17 21:05:47,Clock In
MINH,22/06/17 21:10:36,Clock In
MINH,22/06/17 21:12:29,Clock Out
MINH,22/06/17 21:13:13,Clock In
MINH,22/06/17 21:14:29,Clock Out
MINH,22/06/17 21:14:50,Clock Out
MINH,22/06/17 21:33:36,Clock In
MINH,22/06/17 21:34:30,Clock Out
MINH,22/06/17 21:38:38,Clock In
MINH,22/06/17 21:38:47,Clock Out
MINH,22/06/17 21:55:47,Clock In
MINH,22/06/17 21:59:19,Clock In
MINH,22/06/17 22:01:04,Clock In
MINH,22/06/17 22:06:15,Clock In
MINH,22/06/17 23:33:35,Clock In
MINH,22/06/17 23:33:42,Clock Out
MINH,22/06/18 01:44:28,Clock In
MINH,22/06/18 01:44:47,Clock Out
MINH,22/06/18 01:45:43,Clock In
MINH,22/06/18 01:47:58,Clock In
MINH,22/06/18 01:50:28,Clock In
MINH,22/06/18 01:50:34,Clock Out
MINH,22/06/18 01:55:43,Clock In
MINH,22/06/18 01:55:47,Clock Out
MINH,22/06/18 01:59:06,Clock In
MINH,22/06/18 01:59:22,Clock Out
MINH,22/06/18 02:00:28,Clock In
MINH,22/06/18 02:29:26,Clock In
MINH,22/06/18 02:29:33,Clock Out
MINH,22/06/18 02:30:14,Clock In
MINH,22/06/18 02:30:23,Clock Out
MINH,22/06/18 02:30:32,Clock In
MINH,22/06/18 02:30:41,Clock Out
MINH,22/06/18 02:32:39,Clock In
MINH,22/06/18 02:32:46,Clock Out
MINH,22/06/18 02:36:27,Clock In
MINH,22/06/18 02:36:31,Clock Out
MINH,22/06/18 02:39:55,Clock In
MINH,22/06/18 02:40:02,Clock Out
MINH,22/06/18 03:06:56,Clock In
MINH,22/06/18 03:42:12,Clock Out
MINH,22/06/18 04:16:24,Clock In
MINH,22/06/18 04:16:33,Clock Out
MINH,22/06/18 04:31:50,Clock In
MINH,22/06/18 04:31:55,Clock Out
CONG_MINH,22/06/18 04:48:32,Clock In
CONG_MINH,22/06/18 04:48:38,Clock Out
CONG_MINH,22/06/18 11:31:43,Clock In
CONG_MINH,22/06/18 11:31:49,Clock Out
